Version,Planet,Variable,Exponent,A,B,C
vsop87a,venus     ,z,5,     0.00000000003, 3.66751123903,   20426.57109242200
vsop87a,venus     ,z,5,     0.00000000025, 0.00000000000,       0.00000000000
vsop87a,venus     ,z,5,     0.00000000108, 1.67439739641,   10213.28554621100
vsop87a,venus     ,z,4,     0.00000000041, 2.50364136928,   20426.57109242200
vsop87a,venus     ,z,4,     0.00000000125, 3.14159265359,       0.00000000000
vsop87a,venus     ,z,4,     0.00000006175, 0.17121460361,   10213.28554621100
vsop87a,venus     ,z,3,     0.00000000009, 0.86239699726,   10988.80815753500
vsop87a,venus     ,z,3,     0.00000000010, 1.90027732701,    2352.86615377180
vsop87a,venus     ,z,3,     0.00000000008, 4.60069153442,   11790.62908865880
vsop87a,venus     ,z,3,     0.00000000010, 5.48827753353,    9437.76293488700
vsop87a,venus     ,z,3,     0.00000000015, 0.26812223508,   30639.85663863300
vsop87a,venus     ,z,3,     0.00000000025, 5.78743368814,   10239.58386601080
vsop87a,venus     ,z,3,     0.00000000033, 1.54914240166,   10186.98722641120
vsop87a,venus     ,z,3,     0.00000001743, 0.42985032723,   20426.57109242200
vsop87a,venus     ,z,3,     0.00000013656, 3.14159265359,       0.00000000000
vsop87a,venus     ,z,3,     0.00000272005, 4.87648116140,   10213.28554621100
vsop87a,venus     ,z,2,     0.00000000017, 2.69405014279,    3128.38876509580
vsop87a,venus     ,z,2,     0.00000000016, 3.94104051711,   10742.97651130560
vsop87a,venus     ,z,2,     0.00000000015, 6.18636933791,     191.44826611160
vsop87a,venus     ,z,2,     0.00000000021, 0.31827807970,   11015.10647733480
vsop87a,venus     ,z,2,     0.00000000015, 4.88064054230,   10426.58464164900
vsop87a,venus     ,z,2,     0.00000000015, 4.61555386478,    9999.98645077300
vsop87a,venus     ,z,2,     0.00000000017, 5.41171132064,      26.29831979980
vsop87a,venus     ,z,2,     0.00000000016, 5.81970120815,   10220.39909321180
vsop87a,venus     ,z,2,     0.00000000016, 0.53259218563,   10206.17199921020
vsop87a,venus     ,z,2,     0.00000000019, 3.25100262086,   20618.01935853360
vsop87a,venus     ,z,2,     0.00000000018, 4.95998579326,    4705.73230754360
vsop87a,venus     ,z,2,     0.00000000022, 2.31119555973,   18849.22754997420
vsop87a,venus     ,z,2,     0.00000000025, 2.85904964714,    9411.46461508720
vsop87a,venus     ,z,2,     0.00000000023, 2.90537821537,    6283.07584999140
vsop87a,venus     ,z,2,     0.00000000034, 2.62408666722,   19896.88012732740
vsop87a,venus     ,z,2,     0.00000000038, 1.87932224242,     801.82093112380
vsop87a,venus     ,z,2,     0.00000000029, 4.73183895530,    9830.38901398780
vsop87a,venus     ,z,2,     0.00000000038, 4.71787306716,    7058.59846131540
vsop87a,venus     ,z,2,     0.00000000041, 4.19285341280,   14143.49524243060
vsop87a,venus     ,z,2,     0.00000000048, 3.80682230141,     775.52261132400
vsop87a,venus     ,z,2,     0.00000000053, 5.25641571023,   10596.18207843420
vsop87a,venus     ,z,2,     0.00000000039, 3.30445248741,   11322.66409830440
vsop87a,venus     ,z,2,     0.00000000062, 2.52935211512,    9683.59458111640
vsop87a,venus     ,z,2,     0.00000000050, 4.62591678818,   15720.83878487840
vsop87a,venus     ,z,2,     0.00000000069, 1.12472727399,   22003.91463486980
vsop87a,venus     ,z,2,     0.00000000075, 0.23631944253,    8635.94200376320
vsop87a,venus     ,z,2,     0.00000000095, 0.59412563032,     529.69096509460
vsop87a,venus     ,z,2,     0.00000000087, 5.24030699307,   13367.97263110660
vsop87a,venus     ,z,2,     0.00000000071, 0.79640279433,   10021.83728009940
vsop87a,venus     ,z,2,     0.00000000094, 3.15707903458,   18073.70493865020
vsop87a,venus     ,z,2,     0.00000000091, 6.04946077734,   19651.04848109800
vsop87a,venus     ,z,2,     0.00000000117, 5.42784121915,    5507.55323866740
vsop87a,venus     ,z,2,     0.00000000259, 5.13154893421,    9153.90361602180
vsop87a,venus     ,z,2,     0.00000000238, 2.83008439932,   10404.73381232260
vsop87a,venus     ,z,2,     0.00000000282, 4.03266493057,    1577.34354244780
vsop87a,venus     ,z,2,     0.00000000241, 6.17158812425,    9437.76293488700
vsop87a,venus     ,z,2,     0.00000000303, 0.54544143559,    2352.86615377180
vsop87a,venus     ,z,2,     0.00000000275, 3.26254603491,   11790.62908865880
vsop87a,venus     ,z,2,     0.00000000304, 6.04133491762,   10988.80815753500
vsop87a,venus     ,z,2,     0.00000000471, 1.76796792110,   30639.85663863300
vsop87a,venus     ,z,2,     0.00000000540, 4.13666778984,   10239.58386601080
vsop87a,venus     ,z,2,     0.00000000683, 0.01279354578,   10186.98722641120
vsop87a,venus     ,z,2,     0.00000013554, 5.33914310904,   20426.57109242200
vsop87a,venus     ,z,2,     0.00000163977, 0.00000000000,       0.00000000000
vsop87a,venus     ,z,2,     0.00009148044, 3.34791005272,   10213.28554621100
vsop87a,venus     ,z,1,     0.00000000028, 3.70748385631,    4732.03062734340
vsop87a,venus     ,z,1,     0.00000000036, 3.22618486892,   49515.38250840700
vsop87a,venus     ,z,1,     0.00000000031, 1.27304383227,   33019.02111220460
vsop87a,venus     ,z,1,     0.00000000031, 1.20392434392,   12592.45001978260
vsop87a,venus     ,z,1,     0.00000000028, 0.28339069792,   29050.78374334920
vsop87a,venus     ,z,1,     0.00000000034, 4.19685270992,   13341.67431130680
vsop87a,venus     ,z,1,     0.00000000027, 1.46263510852,    8094.52168583260
vsop87a,venus     ,z,1,     0.00000000029, 3.64911521641,   20452.86941222180
vsop87a,venus     ,z,1,     0.00000000031, 1.57491569709,   32217.20018108080
vsop87a,venus     ,z,1,     0.00000000038, 6.19285352338,   29088.81141598500
vsop87a,venus     ,z,1,     0.00000000036, 5.54416488475,     522.57741809380
vsop87a,venus     ,z,1,     0.00000000033, 6.02490547159,   21202.09370374600
vsop87a,venus     ,z,1,     0.00000000044, 0.78654424919,   20213.27199698400
vsop87a,venus     ,z,1,     0.00000000035, 3.59004163922,   21535.94964451540
vsop87a,venus     ,z,1,     0.00000000037, 5.05563683620,     536.80451209540
vsop87a,venus     ,z,1,     0.00000000033, 2.63152688250,   16496.36139620240
vsop87a,venus     ,z,1,     0.00000000036, 0.04372461247,   20400.27277262220
vsop87a,venus     ,z,1,     0.00000000049, 1.74739410911,    3532.06069281140
vsop87a,venus     ,z,1,     0.00000000037, 4.19631930368,   27511.46787353720
vsop87a,venus     ,z,1,     0.00000000053, 1.80084365566,   45585.17281218740
vsop87a,venus     ,z,1,     0.00000000046, 1.96987893116,     426.59819087600
vsop87a,venus     ,z,1,     0.00000000044, 3.34917429540,   11272.66747640020
vsop87a,venus     ,z,1,     0.00000000043, 5.29403475475,    3149.16416058820
vsop87a,venus     ,z,1,     0.00000000048, 2.58976541849,   22779.43724619380
vsop87a,venus     ,z,1,     0.00000000049, 3.44789037675,   28286.99048486120
vsop87a,venus     ,z,1,     0.00000000057, 0.62155717729,   41654.96311596780
vsop87a,venus     ,z,1,     0.00000000056, 0.16985541402,   14919.01785375460
vsop87a,venus     ,z,1,     0.00000000062, 1.99704954707,   10228.53801739600
vsop87a,venus     ,z,1,     0.00000000062, 1.21365119312,   10198.03307502600
vsop87a,venus     ,z,1,     0.00000000074, 6.21974610833,   18837.49819713819
vsop87a,venus     ,z,1,     0.00000000075, 4.01698827629,   33794.54372352860
vsop87a,venus     ,z,1,     0.00000000074, 0.74329919338,     382.89653222320
vsop87a,venus     ,z,1,     0.00000000070, 5.55011021099,    5661.33204915220
vsop87a,venus     ,z,1,     0.00000000079, 6.07206626858,   20419.45754542119
